date,target,52TI766,52PI250,52FC231,52TI737,52FC1127,52TI878,52TI735,52FR235,52FC133,52FC1143
2020-06-01 00:00:00+00:00,9.2841796875,396.2708333335274,20.999860491071427,9.766669921767608,111.4002130681818,4.42381940570093,91.48652343736468,390.13198138318927,288.6718749292195,6921.569196431466,1138.6964285692334
2020-06-01 09:40:00+00:00,9.393775201579574,394.6065624998882,19.51027513606444,9.775897911219682,111.83404356064132,4.390121460021192,83.733984375,387.9795612373644,292.3269604011063,6928.14062496624,1118.3052455320972
2020-06-01 09:50:00+00:00,9.4921875,394.7178571427108,19.974609374868177,9.899492636486183,111.72816553613652,4.382332938079344,83.07684151781723,388.6443749998929,311.1662946439215,6940.504464277998,1113.7862723211292
2020-06-01 22:30:00+00:00,12.400146484375,395.0088541666046,21.02206914296407,7.339053800822481,106.4000405364962,4.437255859375,93.14370265142696,388.488649764118,240.78255207647868,6693.427419359766,966.4536290345264
2020-06-02 08:20:00+00:00,14.017822265625,395.32717803044767,20.81330151857717,8.470092773420609,107.03906250008733,3.4101758935079927,86.75494791631354,390.25915404019,262.42911305155445,6758.062499993481,946.7920867011828
2020-06-03 08:20:00+00:00,12.828369140625,387.374255952259,19.98142005672908,9.097834063400551,108.26513671869908,2.075736911823759,77.2903843113851,382.733333333595,262.5040624906542,6699.475806461947,945.1302082830224
2020-06-03 21:20:00+00:00,10.885009765625,388.2272727271034,20.286621093793656,9.116693627797806,108.95255796400636,2.09202979076458,80.13137529398598,383.55768623749134,248.3041666756152,6432.705357121703,1116.208147323599
2020-06-04 07:40:00+00:00,10.843017578125,388.2290624999965,19.025560207675163,8.903314499622345,106.73530224196006,2.095496041438975,78.39270833335468,382.7348172170075,256.10002200228314,6544.834677442968,1078.2036290362237
2020-06-05 01:30:00+00:00,9.978468152453994,391.0807291667443,18.637024740001653,9.54207076150036,107.77874410349902,2.1225789388010745,75.56584821436056,384.6664062499476,259.609375,6479.807017557911,1207.2527412140596
2020-06-05 01:40:00+00:00,9.01220703125,391.3723958331393,19.636928013392858,9.645012265210816,107.86448469071536,2.12457275390625,75.64835349488966,385.580357142458,267.0900000063237,6453.000000009313,1196.5252016108302
2020-06-05 11:10:00+00:00,8.59130859375,394.5401562498533,19.248540768831248,9.820312500050932,109.75499999962922,3.3412907918317387,97.53710937488624,388.094781839269,273.8876031841709,6678.245967740553,1190.374999995809
2020-06-06 00:30:00+00:00,7.447875977150034,391.15781250060536,20.532091104034706,10.061539188470864,112.94840988016222,3.909995724038214,95.48654923454572,386.0370463706523,276.3789062515716,7349.903225816185,1382.3286290404146
2020-06-06 00:40:00+00:00,6.38330078125,388.7644531253027,18.86421848768248,9.851003339138485,112.822088068188,3.914794921875,99.02582031268685,382.997632575941,291.84598216281404,7379.71370967802,1392.490927419272
2020-06-06 10:40:00+00:00,5.5885009765625,386.5550781250989,17.30967663187708,9.877974586909064,112.37496279783748,3.9616321382103967,88.56105468735913,380.1571428572227,279.42299109072025,7458.16544116839,1508.159007360645
2020-06-06 23:40:00+00:00,2.22271728515625,388.1522253787526,18.78153483073584,9.840946592171257,112.3860119044548,3.9394821893772254,88.99659242016725,382.82265625,285.8377404185191,7479.504032266716,1613.7011088680383
2020-06-07 09:50:00+00:00,1.5982666015625,391.1096117423255,19.5792306484282,10.294187991211626,113.34917534736628,4.044141209767681,103.83647017096254,384.77948113207,293.2145432191901,7494.812499994412,1547.6819556427429
2020-06-08 01:00:00+00:00,-1.03704833984375,399.02382812478464,18.087890624519787,9.99521412559253,112.70480468739406,4.877327754575664,109.8987926134838,390.4846906566245,299.6960685483871,7110.979508195866,1520.926741807859
2020-06-08 13:10:00+00:00,-0.0461854934692382,404.6526988641444,20.99717588718773,10.211542968184222,113.18973214293614,6.007384552372592,121.43152343781256,395.63841540409095,303.653524718667,7237.669354841233,1395.575367647942
2020-06-09 00:10:00+00:00,0.5199737548828125,402.4443543631439,20.224343305580355,9.648622710143172,110.91735491083402,6.218874187150841,125.2381138387552,393.6345486113463,269.2421875,7265.191964297888,1400.3046874919671
2020-06-09 11:40:00+00:00,2.10260009765625,401.95625000004657,20.32383429863029,9.486391264799371,111.30632812484107,6.284682701373923,125.0751562500256,393.6441761363636,283.921875,7300.82258064396,1334.321572585617
2020-06-09 20:00:00+00:00,2.488237168936545,398.2272727273574,20.25161597841335,9.538853236602206,113.07382812487776,6.3421630859375,126.2342503336673,389.9603061869839,284.39432563596574,7274.406250009779,1288.7633928584733
2020-06-09 20:10:00+00:00,3.51922607421875,397.9399999997578,20.25468226843259,9.603721755710994,112.7111742426315,6.331667218886261,127.74609374956344,390.09831957545634,284.9921875,7284.857142841975,1283.3071120700013
2020-06-10 09:00:00+00:00,4.7135009765625,398.1484375,20.11767578125,8.67306420089024,112.09921875014842,6.5633334455920895,114.45559106698563,389.8082386363848,274.95438507958613,7312.589285718942,1184.5000000130383
2020-06-10 21:10:00+00:00,5.32939002998713,396.0501802880496,20.007788968380243,9.015927072222516,114.34706662730248,5.59933771561662,110.48808195103616,388.7516526441468,271.2431250214577,7112.387096774614,1096.5766129085284
2020-06-10 21:20:00+00:00,5.7535400390625,397.2963541666977,20.01046482066382,9.060292622034488,114.66265624996886,5.59434211117059,111.7874218749057,390.0689858489083,274.48468749717574,7100.232142863729,1092.7834821436638
2020-06-11 13:30:00+00:00,6.6986083984375,395.25126262622615,19.56140557650862,8.980521824043038,112.94947522095136,5.512736002625388,111.02343749982008,387.9526515151515,276.0950100773217,7103.326612901544,1064.8014112897818
